Tid,Avstand,X,Y,Z,Error,Power,uP,uI,uD
584,300,17,3,1020,0,65535,0,0,0
585,300,17,4,1024,0,65535,0,0,0
586,299,17,4,1023,-1,65535,0,0,0
587,299,16,4,1023,-1,65535,0,0,0
588,300,16,4,1023,0,65535,0,0,0
589,300,15,4,1023,0,65535,0,0,0
590,302,15,4,1022,2,65535,0,0,0
591,303,15,4,1020,3,65535,0,0,0
592,303,14,3,1019,3,65535,0,0,0
593,303,13,3,1017,3,65535,0,0,0
594,300,13,3,1017,0,65535,0,0,0
595,300,13,3,1016,0,65535,0,0,0
596,299,13,3,1016,-1,65535,0,0,0
597,300,13,3,1016,0,65535,0,0,0
598,299,13,2,1015,-1,65535,0,0,0
599,299,13,2,1015,-1,65535,0,0,0
600,300,13,2,1016,0,65535,0,0,0
601,300,13,1,1017,0,65535,0,0,0
602,299,14,1,1018,-1,65535,0,0,0
603,300,14,2,1019,0,65535,0,0,0
604,300,14,2,1019,0,65535,0,0,0
605,300,14,2,1019,0,65535,0,0,0
606,302,13,2,1019,2,65535,0,0,0
